"","Montagnard","Travailler","Habiter","Altitude"
"1079","Oui","0","Oui",219
"1081","Oui","0","Non",219
"1082","Oui","1","Non",219
"1083","Oui","1","Non",219
"1084","Oui","0","Non",219
"1085","Oui","0","Non",219
"1088","Oui","0","Non",219
"1090","Oui","0","Non",219
"1091","Non","0","Non",219
"1092","Oui","0","Non",219
"1093","Oui","0","Non",219
"1094","Oui","0","Non",219
"1095","Oui","0","Non",219
"1099","Oui","0","Non",219
"1100","Oui","0","Non",219
"1101","Oui","0","Non",219
"1102","Oui","0","Non",219
"1104","Oui","0","Non",219
"1106","Oui","1","Non",219
"1108","Non","0","Non",219
"1109","Non","0","Non",219
"1110","Non","0","Non",219
"1111","Non","0","Non",219
"1112","Non","0","Non",219
"1113","Oui","0","Non",219
"1114","Non","0","Non",219
"1115","Oui","0","Non",219
"1117","Oui","0","Non",219
"1118","Oui","0","Non",219
"1119","Oui","0","Non",219
"1120","Oui","0","Non",219
"1121","Oui","0","Oui",219
"1122","Oui","0","Non",219
"1123","Oui","0","Non",219
"1125","Oui","0","Oui",219
"1126","Oui","0","Non",219
"1128","Non","0","Non",219
"1129","Oui","0","Non",219
"1130","Oui","1","Oui",219
"1131","Oui","0","Non",219
"1133","Oui","0","Non",219
"1135","Oui","1","Non",219
"1136","Oui","0","Oui",219
"1137","Oui","0","Non",219
"1138","Oui","0","Non",219
"1140","Oui","0","Non",219
"1144","Oui","0","Non",219
"1146","Oui","0","Non",219
"1147","Non","1","Non",219
"1148","Oui","0","Non",219
"1149","Oui","0","Non",219
"1150","Non","2","Non",219
"1151","Oui","0","Non",219
"1154","Non","0","Non",219
"1155","Oui","0","Non",219
"1157","Oui","0","Non",219
"1158","Non","0","Non",219
"1159","Oui","1","Non",219
"1160","Oui","0","Non",219
"1161","Oui","2","Oui",219
"1162","Oui","0","Oui",219
"1163","Oui","0","Non",219
"1165","Oui","2","Non",219
"1167","Oui","0","Oui",219
"1168","Oui","0","Non",219
"1169","Oui","0","Non",219
"1170","Oui","0","Non",219
"1171","Oui","0","Non",219
"1172","Oui","0","Non",219
"1173","Oui","0","Non",219
"1174","Oui","1","Non",219
"1175","Oui","0","Non",219
"1177","Oui","0","Non",219
"1178","Oui","0","Non",219
"1180","Oui","0","Non",219
"1181","Oui","0","Non",219
"1183","Oui","0","Non",219
"1184","Non","0","Non",219
"1186","Oui","2","Oui",219
"1187","Oui","0","Non",219
"1188","Oui","1","Oui",219
"1189","Oui","1","Oui",219
"1191","Oui","0","Non",219
"1192","Non","0","Non",219
"1193","Non","0","Non",219
"1194","Oui","0","Non",219
"1195","Oui","2","Non",219
"1196","Oui","1","Oui",219
"1197","Oui","0","Non",219
"1198","Oui","0","Oui",219
"1199","Oui","0","Non",219
"1200","Oui","2","Oui",219
"1203","Oui","0","Non",219
"1204","Oui","0","Non",219
"1205","Oui","1","Non",219
"1207","Non","0","Oui",219
"1208","Non","0","Non",219
"1209","Oui","0","Non",219
"1210","Oui","0","Non",219
"1211","Oui","0","Non",219
"1212","Oui","0","Non",219
"1213","Oui","2","Oui",219
"1215","Oui","2","Oui",219
"1216","Non","0","Non",219
"1217","Oui","1","Oui",219
"1219","Oui","0","Non",232
"1220","Oui","0","Non",232
"1221","Oui","0","Non",232
"1222","Oui","0","Non",232
"1223","Oui","0","Non",232
"1224","Oui","0","Non",232
"1225","Oui","0","Non",232
"1226","Non","0","Non",232
"1227","Oui","0","Non",232
"1228","Oui","0","Non",280
"1229","Oui","0","Non",280
"1230","Non","0","Non",280
"1231","Oui","0","Non",280
"1232","Oui","0","Non",280
"1233","Oui","0","Non",280
"1234","Oui","0","Non",219
"1235","Oui","0","Non",219
"1236","Oui","0","Non",219
"1237","Oui","0","Non",219
"1238","Oui","0","Oui",219
"1239","Oui","0","Non",219
"1240","Non","0","Oui",219
"1241","Oui","0","Non",219
"1242","Oui","0","Non",219
"1244","Non","0","Non",219
"1246","Oui","0","Non",219
"1247","Non","0","Non",219
"1249","Oui","0","Non",219
"1250","Oui","0","Oui",219
"1251","Oui","1","Non",219
"1252","Oui","0","Non",219
"1254","Oui","0","Non",219
"1255","Oui","1","Non",219
"1256","Oui","2","Oui",219
"1257","Oui","0","Non",219
"1258","Oui","0","Non",219
"1261","Oui","0","Oui",219
"1263","Oui","0","Non",219
"1265","Non","0","Non",219
"1266","Oui","2","Non",219
"1267","Oui","0","Non",219
"1268","Oui","0","Non",219
"1269","Oui","0","Non",219
"1270","Non","0","Non",219
"1271","Oui","0","Non",219
"1272","Oui","0","Non",219
"1273","Oui","0","Non",219
"1274","Oui","0","Non",219
